company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay,arrival_delay,scheduled_flight_duration,ground_time_diff,total_pax,children_count,stroller_users,lap_child_count,ssr_count,Hot Transfer,checked_bags,transfer_bags,load_factor
OO,4792,2025-08-04,ORD,ROA,2025-08-04 17:57:00+00:00,2025-08-04 21:04:00+00:00,2025-08-04 18:04:00+00:00,2025-08-04 20:52:00+00:00,76,ERJ-175,Express,42,34,34,7.0,-12.0,187.0,8,65,1,0,0,3.0,16,6,20,0.8552631578947368
UA,920,2025-08-03,ORD,LHR,2025-08-03 18:05:00+00:00,2025-08-04 08:20:00+00:00,2025-08-03 18:27:00+00:00,2025-08-04 08:06:00+00:00,167,B767-300,Mainline,235,229,145,22.0,-14.0,855.0,90,171,5,0,1,3.0,16,90,37,1.0
UA,1776,2025-08-10,ORD,PHL,2025-08-10 18:20:00+00:00,2025-08-10 21:35:00+00:00,2025-08-10 20:11:00+00:00,2025-08-10 23:26:00+00:00,166,B737-800,Mainline,76,69,51,111.0,111.0,195.0,25,180,5,2,0,0.0,1,46,38,1.0
OO,5790,2025-08-06,ORD,CRW,2025-08-06 18:20:00+00:00,2025-08-06 21:04:00+00:00,2025-08-06 20:05:00+00:00,2025-08-06 22:42:00+00:00,50,CRJ-200,Express,223,38,29,105.0,98.0,164.0,194,55,2,0,0,2.0,0,14,40,1.0
UA,1398,2025-08-05,ORD,ATL,2025-08-05 18:20:00+00:00,2025-08-05 21:29:00+00:00,2025-08-05 18:16:00+00:00,2025-08-05 21:49:00+00:00,166,B737-800,Mainline,75,72,51,-4.0,20.0,189.0,24,136,3,0,0,2.0,0,19,51,0.8192771084337349
OO,5470,2025-08-07,ORD,GEG,2025-08-07 08:40:00+00:00,2025-08-07 10:56:00+00:00,2025-08-07 08:36:00+00:00,2025-08-07 10:43:00+00:00,76,ERJ-175,Express,49,44,34,-4.0,-13.0,136.0,15,73,1,0,1,0.0,3,14,23,0.9605263157894737
UA,374,2025-08-15,ORD,MSP,2025-08-15 16:10:00+00:00,2025-08-15 17:49:00+00:00,2025-08-15 16:38:00+00:00,2025-08-15 18:24:00+00:00,126,A319-100,Mainline,54,41,43,28.0,35.0,99.0,11,128,1,0,1,3.0,2,21,60,1.0
UA,1577,2025-08-15,ORD,SFO,2025-08-15 14:40:00+00:00,2025-08-15 17:26:00+00:00,2025-08-15 14:39:00+00:00,2025-08-15 17:11:00+00:00,234,B757-300,Mainline,123,134,66,-1.0,-15.0,166.0,57,261,10,3,1,2.0,0,83,66,1.0
UA,881,2025-08-03,ORD,HND,2025-08-03 12:50:00+00:00,2025-08-04 15:55:00+00:00,2025-08-03 13:15:00+00:00,2025-08-04 16:01:00+00:00,318,B787-10,Mainline,365,407,155,25.0,6.0,1625.0,210,370,16,1,0,8.0,15,102,231,1.0
UA,2006,2025-08-09,ORD,GUA,2025-08-09 09:14:00+00:00,2025-08-09 12:45:00+00:00,2025-08-09 09:24:00+00:00,2025-08-09 12:57:00+00:00,166,B737-MAX8,Mainline,90,126,65,10.0,12.0,211.0,25,188,9,2,2,27.0,0,131,59,1.0
